title,usertext,y
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
I want to end my life,I'm a loser. I don't want to live.,1
Call suicide hotline for help ,Don’t give up. Try to make change. Call the hotline if you need help.,0
I love this song,It sounds great.,0
I will commit suicide tomorrow,I'll never wake up the day after tomorrow.,1
